gu,D_name,pm10,pm25,color,lat,lon
종로구,서울_명소13,54,35,"rgb(116,217,0)",37.57624,126.955337
종로구,서울1010C2,65,42,"rgb(116,217,0)",37.57240278,126.9918111
종로구,낙원식당 앞,28,20,"rgb(0,201,250)",37.584975,126.914682
종로구,서울_추가183,74,45,"rgb(116,217,0)",37.575254,126.917842
종로구,용산구,37,30,"rgb(116,217,0)",37.54,127.0048
종로구,서울349,77,50,"rgb(116,217,0)",37.565818,126.972629
종로구,서울명소22,77,54,"rgb(116,217,0)",37.562186,126.946223
종로구,광화문역6번출구앞,56,45,"rgb(116,217,0)",37.5699,126.9763
종로구,서울1018_C2,51,27,"rgb(116,217,0)",37.56074722,126.9234083
종로구,마포구,55,30,"rgb(116,217,0)",37.5498,126.9456
종로구,서울_추가176,74,45,"rgb(116,217,0)",37.581192,126.950708
종로구,서울추가189,68,55,"rgb(116,217,0)",37.534046,126.989198
종로구,광화문사옥4층,63,40,"rgb(116,217,0)",37.571725,126.977862
종로구,서울1039,87,56,"rgb(255,189,0)",37.571878,126.982805
종로구,기존주소 건너편 앞 ,38,20,"rgb(116,217,0)",37.551128,126.955277
종로구,서울294,32,20,"rgb(116,217,0)",37.566987,126.982366
종로구,인왕초등학교,43,26,"rgb(116,217,0)",37.5775,126.9345
종로구,도로23B,231,187,"rgb(255,0,0)",37.539601,126.989386
종로구,서울명소1,36,29,"rgb(116,217,0)",37.55094444,126.990725
종로구,제일빌딩앞,75,40,"rgb(116,217,0)",37.54566,126.95312
종로구,서울159,70,45,"rgb(116,217,0)",37.57131944,127.0049194
종로구,동대문구,47,39,"rgb(116,217,0)",37.5758,127.0289
종로구,서울_214,47,38,"rgb(116,217,0)",37.545019,126.969972
종로구,서울추가73,87,70,"rgb(255,189,0)",37.533286,126.96409
종로구,광화문사옥9층,42,27,"rgb(116,217,0)",37.571722,126.977794
종로구,도로25B,81,66,"rgb(255,189,0)",37.558644,126.980951
종로구,서울67,54,29,"rgb(116,217,0)",37.591538,127.012957
종로구,서울1041_C2,18,14,"rgb(0,201,250)",37.54253889,127.0024944
종로구,서울추가199_,68,55,"rgb(116,217,0)",37.537214,126.960392
종로구,100년 설렁탕 앞,60,33,"rgb(116,217,0)",37.588061,127.009885
종로구,서울명소4,57,37,"rgb(116,217,0)",37.58116944,126.9853028
종로구,애완용품점 앞,39,21,"rgb(116,217,0)",37.547015,126.944465
종로구,서울추가140,113,73,"rgb(255,189,0)",37.60109389,126.979185
종로구,한강대로,47,34,"rgb(116,217,0)",37.5491,126.9704
종로구,서울_명소13,54,35,"rgb(116,217,0)",37.57624,126.955337
종로구,서울_1016_C2,91,50,"rgb(255,189,0)",37.566338,127.04355
종로구,제일빌딩앞,75,40,"rgb(116,217,0)",37.54566,126.95312
종로구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
종로구,홍릉로,52,39,"rgb(116,217,0)",37.5805,127.0444
종로구,서울1037_C2,64,39,"rgb(116,217,0)",37.603389,126.961421
종로구,서울C2예비22,80,65,"rgb(255,189,0)",37.561035,126.975477
종로구,kt광화문4,42,27,"rgb(116,217,0)",37.5717,126.9777
종로구,서울220,85,46,"rgb(255,189,0)",37.564079,127.02992
종로구,피자 알보로 앞,65,42,"rgb(116,217,0)",37.568185,126.964686
종로구,서울_C2예비27,87,56,"rgb(255,189,0)",37.570192,127.015998
종로구,중구,39,26,"rgb(116,217,0)",37.5643,126.9747
종로구,서울_명소13,54,35,"rgb(116,217,0)",37.57624,126.955337
종로구,서울_1016_C2,91,50,"rgb(255,189,0)",37.566338,127.04355
종로구,제일빌딩앞,75,40,"rgb(116,217,0)",37.54566,126.95312
종로구,서울명소16,74,48,"rgb(116,217,0)",37.58686111,126.9967
종로구,홍릉로,52,39,"rgb(116,217,0)",37.5805,127.0444
종로구,서울1037_C2,64,39,"rgb(116,217,0)",37.603389,126.961421
종로구,서울C2예비22,80,65,"rgb(255,189,0)",37.561035,126.975477
종로구,kt광화문4,42,27,"rgb(116,217,0)",37.5717,126.9777
종로구,서울220,85,46,"rgb(255,189,0)",37.564079,127.02992
종로구,홍제동신한은행앞,69,42,"rgb(116,217,0)",37.587612,126.945106
종로구,서울C2예비15,51,36,"rgb(116,217,0)",37.558828,126.942408
종로구,서울로7017a,40,32,"rgb(116,217,0)",37.5565,126.9738
종로구,일반건물 앞,95,52,"rgb(255,189,0)",37.59402,127.020287
종로구,서울1010C2,65,42,"rgb(116,217,0)",37.57240278,126.9918111
