측정년도,측정소명,미세먼지(㎍/㎥)
2003,강동구,64
2003,강북구,79
2003,강서구,68
2003,관악구,68
2003,광진구,82
2003,구로구,62
2003,구로구2,88
2003,금천구,64
2003,노원구,69
2003,도봉구,68
2003,동대문구,64
2003,동작구,59
2003,마포구,73
2003,서대문구,65
2003,서초구,65
2003,성동구,77
2003,성북구,77
2003,송파구,69
2003,송파구2,67
2003,양천구,69
2003,영등포구,68
2003,용산구,66
2003,은평구,73
2003,종로구,63
2003,중구,79
2003,중랑구,63
